frame,ms,deteccoes,entradas,saidas
0,60.19980000019132,6,6,0
1,59.438000000227476,6,6,0
2,61.42019999970216,6,6,0
3,60.843999999633525,6,6,0
4,61.89230000018142,7,7,0
5,59.91419999918435,7,7,0
6,59.12069999976666,7,7,0
7,63.38549999964016,6,7,0
8,61.644800000067335,6,7,0
9,61.03179999990971,6,7,0
10,60.26969999948051,6,7,0
11,61.74259999897913,6,7,0
12,63.00589999955264,7,8,0
13,60.29390000003332,7,8,0
14,61.5685000011581,7,8,0
15,62.501599999450264,7,8,0
16,60.342799999489216,7,8,0
17,61.85370000093826,7,8,1
18,64.030499999717,7,8,1
19,61.01490000037302,7,8,1
20,59.737999999924796,6,8,1
21,59.37670000093931,6,8,1
22,62.18499999886262,5,8,1
23,60.04340000072261,5,8,1
24,103.9974000013899,5,8,1
25,61.22300000060932,5,8,1
26,61.66230000053474,5,8,1
27,62.64220000048226,5,8,1
28,64.12160000036238,4,8,1
29,65.70689999898605,4,8,1
30,70.91779999973369,4,8,2
31,77.49930000136374,4,8,2
32,61.75939999957336,4,8,3
33,62.36700000044948,4,8,3
34,62.438599999950384,4,8,3
35,60.77059999915946,4,8,3
36,65.0712000006024,4,8,3
37,66.55320000027132,4,8,3
38,65.58190000032482,4,8,4
39,63.169099999868195,5,9,4
40,66.51510000119742,5,9,4
41,66.26460000006773,5,9,4
42,62.54060000173922,5,9,4
43,80.2746000008483,5,9,4
44,78.48630000080448,5,9,4
45,75.04599999992934,5,9,4
46,63.887500000419095,6,10,4
47,62.85790000038105,6,10,4
48,60.52070000077947,6,10,4
49,63.62079999962589,5,10,4
50,65.59660000129952,5,10,4
51,65.0389999991603,5,10,4
52,60.83980000039446,5,10,4
53,62.40989999969315,5,10,4
54,64.23680000079912,5,10,4
55,62.27300000136893,3,10,4
56,64.0213999995467,3,10,4
57,61.82699999953911,3,10,4
58,65.23360000028333,4,10,4
59,60.70529999851715,3,10,5
60,63.931000000593485,4,10,5
61,62.21850000110862,4,10,5
62,63.24339999991935,4,10,5
63,63.58120000004419,4,11,5
64,62.404700000115554,4,11,5
65,65.44279999980063,4,11,6
66,65.36489999962214,4,11,6
67,61.997999999221065,5,11,6
68,60.54449999828648,4,11,6
69,61.463499998353655,4,11,6
70,66.85529999958817,4,11,6
71,65.78769999941869,4,11,6
72,65.88959999862709,4,11,6
73,66.74190000012459,4,11,6
74,65.63540000024659,4,11,6
75,59.491400001206785,4,11,6
76,62.740900000790134,4,11,6
77,60.65469999884954,5,12,6
78,62.41970000155561,5,12,7
79,63.31339999996999,5,12,7
80,66.47510000038892,6,13,7
81,63.56299999970361,5,13,7
82,64.19169999935548,6,13,7
83,61.327600000367966,5,13,7
84,62.6233000002685,6,13,7
85,62.5488999994559,6,13,7
86,63.466800000242074,6,13,7
87,62.128800000209594,6,13,7
88,64.95890000041982,5,13,7
89,59.56270000024233,6,13,7
90,62.79449999965436,5,13,7
91,61.90450000030978,4,13,7
92,64.41420000010112,4,13,7
93,60.97829999998794,4,13,7
94,65.20379999892612,4,13,7
95,63.766400000531576,4,13,7
96,63.76819999968575,5,14,7
97,61.11839999903168,5,14,7
98,61.344699999608565,5,14,7
99,63.21780000143917,5,14,7
100,63.870699999824865,5,14,8
101,64.45680000069842,6,14,9
102,61.4796000008937,5,14,9
103,64.7780999988754,6,15,9
104,61.697699999058386,7,15,9
105,63.725300000442076,7,15,9
106,63.60620000123163,6,15,9
107,64.18879999910132,6,15,9
108,63.60880000102043,7,15,9
109,65.74910000017553,6,15,9
110,63.7284999993426,6,15,9
111,64.44000000010419,7,15,9
112,61.00779999906081,6,15,9
113,101.63040000043111,7,15,9
114,70.93510000049719,8,15,9
115,62.7081000002363,8,15,9
116,64.92439999965427,7,15,9
117,63.895100000081584,8,15,9
118,63.343499999973574,7,15,9
119,65.39739999971061,7,15,9
120,68.12910000007832,6,15,9
121,62.213300001531024,6,15,9
122,94.02479999880597,5,15,9
123,77.2605999991356,6,15,9
124,64.97719999970286,6,15,9
125,66.63379999918106,5,15,9
126,63.90550000105577,4,15,9
127,60.926099999051075,4,15,9
128,61.722200000076555,4,15,9
129,64.57910000062839,5,15,9
130,61.274799998500384,4,15,9
131,65.61160000092059,5,15,9
132,63.01340000027267,4,15,9
133,62.88539999877685,4,15,9
134,65.19879999905243,4,15,9
135,64.56010000147216,4,15,10
136,65.47599999976228,5,15,11
137,63.805399999182555,5,16,11
138,61.95860000116227,4,16,11
139,63.66949999937788,4,16,11
140,63.37669999993523,4,16,11
141,61.09160000050906,5,16,11
142,62.12779999987106,5,16,11
143,68.29040000047826,6,17,11
144,62.222700000347686,6,17,11
145,64.55610000011802,6,17,11
146,61.97819999943022,6,17,11
147,64.62960000135354,6,17,11
148,58.840599998802645,6,17,11
149,63.65200000072946,6,17,11
150,70.10819999959494,6,17,11
151,63.546699999278644,6,17,11
152,64.11730000036187,6,17,11
153,68.26350000119419,6,17,11
154,63.12860000070941,6,17,11
155,63.80960000024061,6,17,11
156,62.02750000011292,7,17,11
157,64.3080000008922,7,17,11
158,61.7789999996603,7,17,11
159,66.61350000103994,6,17,11
160,64.57070000033127,6,17,11
161,62.79750000066997,6,17,11
162,64.29000000025553,6,17,11
163,63.38019999930111,6,17,11
164,66.23530000069877,6,17,11
165,64.44939999892085,6,17,11
166,62.660999999934575,6,17,11
167,64.40099999963422,6,17,11
168,64.94909999855736,6,17,11
169,63.751700001375866,6,17,11
170,62.297799999214476,6,17,11
171,63.579900001059286,6,17,11
172,62.22390000039013,5,17,11
173,76.82759999988775,6,17,11
174,77.70189999973809,5,17,11
175,63.39710000065679,6,17,11
176,64.93699999919045,6,17,11
177,65.24229999922682,6,17,11
178,64.75320000026841,6,17,11
